Kato,,

Date,Total Steps,Aerobic Steps,Aerobic Walking Time,Calories,Distance,Fat Burned,Steps 12AM,Steps 1AM,Steps 2AM,Steps 3AM,Steps 4AM,Steps 5AM,Steps 6AM,Steps 7AM,Steps 8AM,Steps 9AM,Steps 10AM,Steps 11AM,Steps 12PM,Steps 1PM,Steps 2PM,Steps 3PM,Steps 4PM,Steps 5PM,Steps 6PM,Steps 7PM,Steps 8PM,Steps 9PM,Steps 10PM,Steps 11PM,Aerobic Steps 12AM,Aerobic Steps 1AM,Aerobic Steps 2AM,Aerobic Steps 3AM,Aerobic Steps 4AM,Aerobic Steps 5AM,Aerobic Steps 6AM,Aerobic Steps 7AM,Aerobic Steps 8AM,Aerobic Steps 9AM,Aerobic Steps 10AM,Aerobic Steps 11AM,Aerobic Steps 12PM,Aerobic Steps 1PM,Aerobic Steps 2PM,Aerobic Steps 3PM,Aerobic Steps 4PM,Aerobic Steps 5PM,Aerobic Steps 6PM,Aerobic Steps 7PM,Aerobic Steps 8PM,Aerobic Steps 9PM,Aerobic Steps 10PM,Aerobic Steps 11PM,Used 12AM,Used 1AM,Used 2AM,Used 3AM,Used 4AM,Used 5AM,Used 6AM,Used 7AM,Used 8AM,Used 9AM,Used 10AM,Used 11AM,Used 12PM,Used 1PM,Used 2PM,Used 3PM,Used 4PM,Used 5PM,Used 6PM,Used 7PM,Used 8PM,Used 9PM,Used 10PM,Used 11PM,Event 12AM,Event 1AM,Event 2AM,Event 3AM,Event 4AM,Event 5AM,Event 6AM,Event 7AM,Event 8AM,Event 9AM,Event 10AM,Event 11AM,Event 12PM,Event 1PM,Event 2PM,Event 3PM,Event 4PM,Event 5PM,Event 6PM,Event 7PM,Event 8PM,Event 9PM,Event 10PM,Event 11PM
5/14/2009,3268,2898,20,124,1.65,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,1747,1322,20,90,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,1228,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/2009,5251,3426,24,186,2.65,11.1,0,0,0,0,0,0,0,256,126,94,273,473,338,33,0,0,14,90,3515,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2009,8348,5027,42,308,4.21,18.4,0,0,0,0,0,0,0,142,6151,727,726,7,0,0,0,121,40,236,42,156,0,0,0,0,0,0,0,0,0,0,0,0,4522,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2009,2902,0,0,96,1.46,5.2,0,0,0,0,0,0,0,0,0,182,1345,105,559,582,0,0,0,79,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/2009,1042,0,0,22,0.52,1.2,0,0,0,0,0,0,0,0,0,0,111,37,23,122,0,96,29,115,388,89,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/2009,2959,0,0,79,1.49,4.4,0,0,0,0,0,0,0,0,0,5,50,137,223,193,35,759,463,64,425,304,31,59,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/20/2009,959,0,0,19,0.48,1.0,0,0,0,0,0,0,0,0,0,47,190,34,17,133,14,0,64,113,0,99,138,0,99,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2009,141,0,0,0,0.07,0.0,27,0,0,0,0,0,0,0,0,63,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
